Table S2. (B) Primary screen extracted image features.,,,,,,,,,,,
feature,Analogous CellProfiler feature,description,Feature transformation,Used by interphase/mitotic cell support vector classifier,Used in interphase PHATE analysis,Used in mitotic PHATE analysis,Interphase heatmap display name,Mitotic heatmap display name,,,
nucleus_phalloidin_weighted_hu_moments_2,,"Third Hu Moment (translation, scale, rotation invariant) of phalloidin channel intensity within the segmented nucleus",log(feature),,TRUE,TRUE,,,,,
nucleus_phalloidin_weighted_hu_moments_3,,"Fourth Hu Moment (translation, scale, rotation invariant) of phalloidin channel intensity within the segmented nucleus",log(feature),,TRUE,TRUE,,,,,
nucleus_phalloidin_weighted_hu_moments_4,,"Fifth Hu Moment (translation, scale, rotation invariant) of phalloidin channel intensity within the segmented nucleus",,,TRUE,,,,,,
nucleus_phalloidin_weighted_hu_moments_5,,"Sixth Hu Moment (translation, scale, rotation invariant) of phalloidin channel intensity within the segmented nucleus",,,TRUE,TRUE,,,,,
nucleus_phalloidin_weighted_hu_moments_6,,"Seventh Hu Moment (translation, scale, rotation invariant) of phalloidin channel intensity within the segmented nucleus",,,TRUE,,,,,,
cell_dapi_pftas_0,,"Parameter-free threshold adjacency statistic 1, a measure of DAPI channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_dapi_pftas_1,,"Parameter-free threshold adjacency statistic 2, a measure of DAPI channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_dapi_pftas_2,,"Parameter-free threshold adjacency statistic 3, a measure of DAPI channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_dapi_pftas_3,,"Parameter-free threshold adjacency statistic 4, a measure of DAPI channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_dapi_pftas_4,,"Parameter-free threshold adjacency statistic 5, a measure of DAPI channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_dapi_pftas_5,,"Parameter-free threshold adjacency statistic 6, a measure of DAPI channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,TRUE,TRUE,TRUE,,,,,
cell_dapi_pftas_6,,"Parameter-free threshold adjacency statistic 7, a measure of DAPI channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,TRUE,TRUE,TRUE,,,,,
cell_dapi_pftas_7,,"Parameter-free threshold adjacency statistic 8, a measure of DAPI channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,TRUE,,TRUE,,,,,
cell_dapi_pftas_8,,"Parameter-free threshold adjacency statistic 9, a measure of DAPI channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
cell_dapi_pftas_9,,"Parameter-free threshold adjacency statistic 10, a measure of DAPI channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
cell_dapi_pftas_10,,"Parameter-free threshold adjacency statistic 11, a measure of DAPI channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_dapi_pftas_11,,"Parameter-free threshold adjacency statistic 12, a measure of DAPI channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_dapi_pftas_12,,"Parameter-free threshold adjacency statistic 13, a measure of DAPI channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_dapi_pftas_13,,"Parameter-free threshold adjacency statistic 14, a measure of DAPI channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_dapi_pftas_14,,"Parameter-free threshold adjacency statistic 15, a measure of DAPI channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,TRUE,TRUE,TRUE,,,,,
cell_dapi_pftas_15,,"Parameter-free threshold adjacency statistic 16, a measure of DAPI channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
cell_dapi_pftas_16,,"Parameter-free threshold adjacency statistic 17, a measure of DAPI channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,,,,,,
cell_dapi_pftas_17,,"Parameter-free threshold adjacency statistic 18, a measure of DAPI channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,,,,,,
cell_dapi_pftas_18,,"Parameter-free threshold adjacency statistic 19, a measure of DAPI channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
cell_dapi_pftas_19,,"Parameter-free threshold adjacency statistic 20, a measure of DAPI channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_dapi_pftas_20,,"Parameter-free threshold adjacency statistic 21, a measure of DAPI channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_dapi_pftas_21,,"Parameter-free threshold adjacency statistic 22, a measure of DAPI channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
cell_dapi_pftas_22,,"Parameter-free threshold adjacency statistic 23, a measure of DAPI channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_dapi_pftas_23,,"Parameter-free threshold adjacency statistic 24, a measure of DAPI channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,TRUE,TRUE,TRUE,,,,,
cell_dapi_pftas_24,,"Parameter-free threshold adjacency statistic 25, a measure of DAPI channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,TRUE,,TRUE,,,,,
cell_dapi_pftas_25,,"Parameter-free threshold adjacency statistic 26, a measure of DAPI channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
cell_dapi_pftas_26,,"Parameter-free threshold adjacency statistic 27, a measure of DAPI channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,,,,,,
cell_dapi_pftas_27,,"Parameter-free threshold adjacency statistic 28, a measure of DAPI channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,TRUE,TRUE,TRUE,,,,,
cell_dapi_pftas_28,,"Parameter-free threshold adjacency statistic 29, a measure of DAPI channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,TRUE,,TRUE,,,,,
cell_dapi_pftas_29,,"Parameter-free threshold adjacency statistic 30, a measure of DAPI channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,TRUE,,TRUE,,,,,
cell_dapi_pftas_30,,"Parameter-free threshold adjacency statistic 31, a measure of DAPI channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_dapi_pftas_31,,"Parameter-free threshold adjacency statistic 32, a measure of DAPI channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_dapi_pftas_32,,"Parameter-free threshold adjacency statistic 33, a measure of DAPI channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
cell_dapi_pftas_33,,"Parameter-free threshold adjacency statistic 34, a measure of DAPI channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,TRUE,TRUE,TRUE,,,,,
cell_dapi_pftas_34,,"Parameter-free threshold adjacency statistic 35, a measure of DAPI channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,TRUE,,TRUE,,,,,
cell_dapi_pftas_35,,"Parameter-free threshold adjacency statistic 36, a measure of DAPI channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,,,,,,
cell_dapi_pftas_36,,"Parameter-free threshold adjacency statistic 37, a measure of DAPI channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,TRUE,TRUE,TRUE,,,,,
cell_dapi_pftas_37,,"Parameter-free threshold adjacency statistic 38, a measure of DAPI channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,TRUE,TRUE,TRUE,,,,,
cell_dapi_pftas_38,,"Parameter-free threshold adjacency statistic 39, a measure of DAPI channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,TRUE,TRUE,TRUE,,,,,
cell_dapi_pftas_39,,"Parameter-free threshold adjacency statistic 40, a measure of DAPI channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,TRUE,TRUE,TRUE,,,,,
